x,y,z
-0.82,0.471,1.895
-0.823,0.611,1.897
-0.816,-0.076,1.892
-0.815,-0.418,1.885
-0.816,-0.125,1.893
-0.826,-0.442,1.587
-0.813,0.237,1.885
-0.816,-0.428,1.073
-0.821,-0.448,1.825
-0.821,0.23,1.822
-0.816,0.69,1.717
-0.813,0.674,1.674
-0.812,0.705,1.76
-0.811,0.554,1.901
-0.811,0.492,1.9
-0.81,0.247,1.9
-0.809,0.225,1.588
-0.803,0.651,1.091
-0.802,-0.439,1.622
-0.802,-0.325,1.051
-0.785,0.654,1.332
-0.782,-0.418,1.877
-0.78,-0.429,1.656
-0.8,0.692,1.832
-0.777,0.652,1.121
-0.779,0.648,1.123
-0.779,0.007,1.885
-0.783,-0.426,1.119
-0.776,0.647,1.172
-0.791,0.658,1.472
-0.796,-0.43,1.48
-0.787,0.656,1.372
-0.776,0.647,1.07
-0.786,-0.426,1.368
-0.796,0.22,1.681
-0.792,-0.43,1.07
-0.784,-0.423,1.031
-0.782,0.667,1.881
-0.776,0.645,1.219
-0.795,-0.43,1.235
-0.795,-0.43,1.19
-0.781,0.657,1.612
-0.779,0.651,1.081
-0.779,0.655,1.422
-0.793,0.226,1.259
-0.778,0.657,1.57
-0.785,0.656,1.528
-0.787,0.652,1.222
-0.791,-0.426,1.428
-0.791,-0.429,1.525
-0.781,0.651,1.264
-0.766,0.647,1.267
-0.765,0.647,1.037
-0.785,0.054,1.75
-0.784,0.464,1.902
-0.784,0.447,1.902
-0.784,0.516,1.901
-0.784,0.582,1.901
-0.783,0.291,1.901
-0.774,0.651,1.046
-0.783,0.37,1.9
-0.769,0.626,1.892
-0.766,0.575,1.894
-0.766,0.477,1.893
-0.769,0.526,1.894
-0.783,-0.43,1.801
-0.769,0.377,1.895
-0.768,0.324,1.894
-0.769,0.422,1.892
-0.766,-0.275,1.888
-0.766,0.27,1.89
-0.766,-0.175,1.889
-0.764,-0.224,1.885
-0.779,-0.075,1.894
-0.766,-0.374,1.887
-0.765,-0.127,1.884
-0.764,0.233,1.885
-0.764,-0.326,1.886
-0.775,0.215,1.781
-0.76,0.646,1.479
-0.765,0.648,1.311
-0.763,0.649,1.368
-0.76,0.648,1.43
-0.758,0.662,1.691
-0.757,-0.416,1.787
-0.757,0.658,1.781
-0.753,0.646,1.56
-0.73,-0.121,1.864
-0.74,-0.078,1.868
-0.742,0.641,1.385
-0.732,-0.373,1.873
-0.744,0.642,1.18
-0.729,0.634,1.029
-0.734,0.636,1.228
-0.732,0.636,1.119
-0.744,-0.403,1.864
-0.745,0.011,1.863
-0.73,0.633,1.281
-0.727,0.631,1.066
-0.734,0.634,1.507
-0.729,0.633,1.336
-0.736,-0.403,1.179
-0.737,-0.403,1.124
-0.738,-0.404,1.064
-0.725,0.632,0.984
